State,Brand,total_users,avg_engagement_percentage
maharashtra,Xiaomi,112867939,0.25397468840374665
maharashtra,Samsung,96805793,0.21701877870980432
uttar-pradesh,Xiaomi,91026031,0.25771476153065176
maharashtra,Vivo,80364873,0.16552400150719812
karnataka,Xiaomi,74495837,0.25814001525149627
uttar-pradesh,Samsung,65570247,0.18856596946716309
uttar-pradesh,Vivo,61114756,0.16020110118038514
maharashtra,Oppo,60017665,0.12625768167131088
karnataka,Samsung,57223423,0.1989342780674205
andhra-pradesh,Xiaomi,56579876,0.25217384275268107
